PMF_PLACE,LONG,LAT,ADDR,EMR,CLINIC
RICHMOND,-123.1830756,49.1267089,204 - 3811 CHATHAM STREET,IntraHealth,STEVESTON MEDICAL CLINIC
VICTORIA,-123.3337925,48.4449543,310 - 1641 HILLSIDE AVENUE WEST,MedAccess,LANSDOWNE FAMILY PRACTICE
NEW WESTMINSTER,-122.8923133,49.2252694,202 - 250 KEARY STREET,Accuro,NA
MILL BAY,-123.5585109,48.6513996,230 - 2720 MILL BAY ROAD,MedAccess,MILL BAY MEDICAL CENTRE
KELOWNA,-119.490148,49.8626485,203 - 3040 TUTT STREET,Accuro,NA
SOOKE,-123.7213071,48.3787718,1300 - 6660 SOOKE ROAD,MD Physician Services,WEST COAST FAMILY PRACTICE
PRINCE GEORGE,-122.7661613,53.9129136,1 - 1230 ALWARD STREET,MOIS,NA
DUNCAN,-123.7086869,48.7823087,675 CANADA AVENUE,Launchpad,MARGARET MOSS HEALTH CENTRE
VANCOUVER,-123.0802963,49.2525843,202 1193 KINGSWAY,Oscar Nerd,SOUTH COMMUNITY BIRTH PROGRAM
VANCOUVER,-123.0391557,49.2201294,3188  EAST 54TH AVENUE,Oscar West,NA
VANCOUVER,-123.1540458,49.2338558,2077 WEST 42ND AVENUE,Oscar Nerd,KERRISDALE STATION MEDICAL CLINIC
KELOWNA,-119.4537534,49.8845657,101 - 1912 ENTERPRISE WAY,Wolf,MILL CREEK FAMILY MEDICAL
LANGLEY,-122.6090875,49.0891427,22190 48TH AVENUE,Launchpad,NA
COURTENAY,-124.9916789,49.6861534,202 ? 1532 CLIFFE AVENUE,Plexia,NORTH ISLAND UROLOGY
BURNABY,-122.9832369,49.2802812,104 - 5512 EAST HASTINGS ST,Plexia,NA
KELOWNA,-119.4537534,49.8845657,101 - 1912 ENTERPRISE WAY,Wolf,MILL CREEK FAMILY MEDICAL
SURREY,-122.7791789,49.1587056,103 - 8585 160TH STREET,Launchpad,TOWNSQUARE MEDICAL CLINIC
COURTENAY,-124.9944659,49.6860442,202 - 1350 ENGLAND AVENUE,IntraHealth,COURTENAY MEDICAL ASSOCIATES
VANCOUVER,-123.1259148,49.2611413,4104 - 2775 LAUREL STREET,Accuro,NA
MISSION,-122.3315008,49.1342522,32243 HURD STREET,Wolf,THE MISSION MEDICAL GROUP
LANGLEY,-122.610739,49.0965491,201 - 5171 221A STREET,Plexia,NA
KELOWNA,-119.4747087,49.8703519,105 - 2395 GORDON DRIVE,Oscar,GUISACHAN FAMILY MEDICINE
RICHMOND,-123.1565066,49.1549014,120 - 6180 BLUNDELL ROAD,Wolf,NA
COURTENAY,-124.9870943,49.6817032,1959 CLIFFE AVENUE,Launchpad,NORTH ISLAND MEDICAL CLINIC
MAPLE RIDGE,-122.6041473,49.2143232,11664 223ND STREET,Osler,NA
SMITHERS,-127.1706938,54.7804892,PO BOX 3760 - 1209 MAIN STREET,MOIS,NA
NANAIMO,-123.9604913,49.1877187,101 1650 TERMINAL AVE,Accuro,NA
VANCOUVER,-123.1347159,49.2632129,400 - 1338 WEST BROADWAY,Wolf,NA
SAANICHTON,-123.4103182,48.5956269,2166 MT NEWTON X RD,Osler,NA
DELTA,-123.0724614,49.0249311,101 - 5461 12TH AVENUE,Wolf,NA
KELOWNA,-119.4898652,49.856798,202 - 3330 RICHTER STREET,Accuro,NA
SUMMERLAND,-119.677319,49.601239,PO BOX 460 - 200 13009 ROSEDALE AVENUE,MedAccess,ROSEDALE MEDICAL ASSOCIATES
COURTENAY,-125.0007286,49.6923804,343 3RD ST,Oscar,COMOX VALLEY MIDWIFERY
BURNABY,-123.0067465,49.2523432,3405 WILLINGDON AVENUE,Launchpad,MAPLES ADOLESCENT TREATMENT
CHILLIWACK,-121.9676836,49.1681534,9105 SUNSET DRIVE,Oscar West,HORIZON MEDICAL
KELOWNA,-119.4794618,49.8788974,1955 BOWES STREET,Oscar,MALACHITE MIDWIVES
VICTORIA,-123.3336707,48.4681724,250-1555 MCKENZIE AVE,Plexia,NA
KAMLOOPS,-120.3729734,50.6494378,1966 HARRISON WAY,MedAccess,ABERDEEN MEDICAL CLINIC
KELOWNA,-119.4898652,49.856798,303 3330 RICHTER STREET,Accuro,NA
KELOWNA,-119.4365277,49.8800822,324 101 - 1865 DILWORTH DRIVE,EMR Advantage,MEDI-KEL SUPERSTORE
VICTORIA,-123.3524606,48.4254293,405 - 1120 YATES STREET,Plexia,NA
ABBOTSFORD,-122.2946872,49.0409501,4 - 2151 MCCALLUM ROAD,EHR Plus,CANNON CLINIC
COMOX,-124.9261093,49.6730325,201-1771 COMOX AVE,Osler,ST. JOSEPH'S GEN HOSP - OPHTHALMOLOGY
NEW WESTMINSTER,-122.8933951,49.2253096,102 - 245 EAST COLUMBIA STREET,Wolf,NA
VANCOUVER,-123.1715986,49.264375,200 - 2475 BAYSWATER STREET,Oscar West,BAYSWATER FAMILY PRACTICE
VANCOUVER,-123.1229027,49.2636371,839 WEST BROADWAY,Plexia,NA
NANAIMO,-124.0054095,49.2061181,84C - 3200 N ISLAND HIGHWAY,IntraHealth,WELLINGTON MEDICAL CLINIC
VANCOUVER,-123.1391246,49.2653232,1530 WEST 7TH AVENUE,Wolf,SEYMOUR HEALTH CENTRE
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 5TH FLR,Accuro,NA
SURREY,-122.8427538,49.1772129,704 - 13737 96TH AVENUE,Plexia,NA
SIDNEY,-123.4007936,48.647608,2A-2379 BEVAN AVE,MedAccess,PENINSULA MEDICAL CLINIC
SURREY,-122.8428948,49.1745321,206 - 13710 94A AVENUE,Launchpad,NA
WHITE ROCK,-122.8035483,49.0297575,1500 FOSTER STREET,Launchpad,NA
RICHMOND,-123.1364673,49.1719821,175 - 8100 ACKROYD ROAD,IntraHealth,NA
RICHMOND,-123.1341344,49.1838923,2180 - 4151 HAZELBRIDGE WAY,Wolf,ABERDEEN HEALTH CENTRE
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 6TH FLR,Launchpad,VH OBGYN COLPOSCOPY
NANAIMO,-123.9604033,49.187537,206 - 1650 TERMINAL AVENUE,Plexia,NA
NANAIMO,-123.9774969,49.1812858,104-1629 TOWNSITE ROAD,Accuro,NA
KYUQUOT,-127.3658823,50.0279049,100 OKINE ISLAND,Launchpad,NA
WILLIAMS LAKE,-122.1442964,52.1363062,440 COMER STREET,IntraHealth,COMER MEDICAL CLINIC
KELOWNA,-119.4759184,49.8867769,3 - 1131 LAWSON AVENUE,Accuro,KELOWNA GYNECOLOGY AND OBSTETRICS CLINIC
KELOWNA,-119.4572603,49.8798904,210 - 1855 KIRSCHNER ROAD,MedAccess,NA
RICHMOND,-123.1375347,49.1747761,5591 NO. 3 ROAD,Plexia,MARY PACK ARTHRITIS PROGRAM
POWELL RIVER,-124.5279311,49.8387642,4539 MARINE AVENUE,Wolf,NA
VICTORIA,-123.4018369,48.4300191,918 ESQUIMALT ROAD,MedAccess,NA
VANCOUVER,-123.1251268,49.2636604,620 - 943 WEST BROADWAY,Wolf,NA
NANAIMO,-123.9723967,49.1831307,13 - 1599 DUFFERIN CRESCENT,Accuro,NA
KELOWNA,-119.4921002,49.8622772,202 - 436 CEDAR AVENUE,iClinic,NA
NANAIMO,-123.9809313,49.1820616,201 - 1801 BOWEN ROAD,Accuro,NA
NORTH VANCOUVER,-123.0744768,49.3217918,100 - 145 WEST 15TH STREET,Wolf,PLAZA 15 FAMILY PRACTICE
COQUITLAM,-122.7950209,49.2769273,56 - 2991 LOUGHEED HIGHWAY,Oscar Nerd,ABLE CARE MEDICAL CLINIC
VANCOUVER,-123.0985358,49.2782883,207 - 236 EAST GEORGIA STREET,Oscar,NA
MAPLE RIDGE,-122.5933757,49.2187501,103 - 22720 119TH STREET,Osler,NA
NANAIMO,-123.9424186,49.1688971,340 CAMPBELL STREET,IntraHealth,CALEDONIAN CLINIC
BURNABY,-122.9918946,49.2258939,705 - 4980 KINGSWAY,Osler,NA
VANCOUVER,-123.101404,49.2109907,235 SE MARINE DRIVE,MedAccess,MAIN AND MARINE MEDICAL CLINIC
NEW WESTMINSTER,-122.8933951,49.2253096,203 - 245 EAST COLUMBIA STREET,Plexia,NA
MAPLE RIDGE,-122.6041473,49.2143232,11664 223RD STREET,Intrahealth,NA
VANDERHOOF,-124.0087932,54.0283077,3348 HOSPITAL ROAD,MOIS,OMENICA MEDICAL CLINIC
VANCOUVER,-123.1275058,49.2784866,770 - 1190 HORNBY STREET,Accuro,PACIFIC GASTROENTEROLOGY ASSOCIATES
COURTENAY,-125.0007425,49.6879189,788 GRANT AVENUE,Wolf,COURTENAY MEDICAL
NANAIMO,-124.7820624,49.248456,3949 PORT ALBERNI HWY,Osler,WEST COAST GENERAL HOSPITAL
VICTORIA,-123.3302199,48.4305343,302 - 2020 RICHMOND ROAD,Plexia,SURGICAL CONSULTANTS
VANCOUVER,-123.1289966,49.2805979,RM 6009 1081 BURRARD STREET,Accuro,POST TRANSPLANT
PENTICTON,-119.5735116,49.484951,855 ROSS AVENUE,MedAccess,PENTICTON PEDIATRIC GROUP
VICTORIA,-123.3843917,48.4904198,220 - 4460 CHATTERTON WAY,Wolf,NA
WEST VANCOUVER,-123.2751322,49.3745863,6422 BAY STREET,Wolf,HORSESHOE BAY FAMILY PRACTICE
VANCOUVER,-123.1267045,49.2448408,C234 - 4500 OAK STREET,Launchpad,DEPARTMENT OF MEDICAL GENETICS
BURNABY,-123.0158079,49.2808069,200 - 4012 EAST HASTINGS STREET,Oscar,NORBURN MEDICAL CLINIC
VICTORIA,-123.3747387,48.4564346,104 - 3551 BLANSHARD STREET,Accuro,REBALANCE
COURTENAY,-124.9969041,49.6885853,UNIT E - 310 8TH STREET,IntraHealth,VALLEY CARE MEDICAL
COMOX,-124.9355597,49.6758657,2002D COMOX AVENUE,Osler,NA
VICTORIA,-123.3656136,48.4390321,301 - 740 HILLSIDE AVENUE,iClinic,WESTERN CARDIOLOGY
VICTORIA,-123.3337925,48.4449543,120 - 1641 HILLSIDE AVENUE,Osler,NA
VICTORIA,-123.3747387,48.4564346,104 - 3551 BLANSHARD STREET,Accuro,REBALANCE MD
WEST VANCOUVER,-123.1596167,49.3290348,201 - 520 17TH STREET,Wolf,CONTINUUM MEDICAL CARE
SURREY,-122.7984631,49.0610133,106 - 15252 32ND AVENUE,IntraHealth,MORGAN CREEK FAMILY PRACTICE
CHILLIWACK,-121.9578967,49.1360224,104 - 45744 GAETZ STREET,Oscar West,GAETZ STREET FAMILY MEDICINE
VICTORIA,-123.342568,48.4425235,1454 HILLSIDE AVENUE,Wolf,HEALTH POINT CARE CENTRE
SECHELT,-123.7568333,49.47301,PO BOX 638 - 5531 INLET AVENUE,MedAccess,SECHELT MEDICAL CLINIC
KELOWNA,-119.4930484,49.890011,204 - 1353 ELLIS STREET,Osler,NA
CAMPBELL RIVER,-125.2587844,50.0333382,B - 1424 ISLAND HIGHWAY,Oscar West,RIVER CITY MEDICAL CLINIC
SURREY,-122.7305352,49.1047118,5633 177B STREET,Oscar Nerd,CLOVERDALE FAMILY MEDICAL
RICHMOND,-123.1471647,49.1706805,365 - 7031 WESTMINSTER HIGHWAY,Plexia,NA
WEST VANCOUVER,-123.1596167,49.3290348,202 - 520 17TH STREET,Wolf,CONTINUUM MEDICAL CARE
SURREY,-122.8050309,49.0320637,300 - 1656 MARTIN DR,Accuro,NA
WESTBANK,-119.6105515,49.8386561,107/108 - 3500 CARRINGTON ROAD,Oscar West,VINTAGE VIEW MEDICAL CLINIC
VANCOUVER,-123.11886,49.2320657,360  - 650 WEST 41ST AVENUE,Launchpad,OAKRIDGE CENTER SOUTH TOWER
PENTICTON,-119.5802387,49.4742473,101 - 2210 MAIN STREET,MedAccess,SAGE MEDICAL CLINIC
COURTENAY,-125.0007425,49.6879189,788 GRANT AVENUE,Wolf,NA
SURREY,-122.8405364,49.174526,115 - 13798 94A Avenue,Plexia,NA
WEST VANCOUVER,-123.2751322,49.3745863,6422 BAY STREET,Wolf,HORSESHOE BAY FAMILY PRACTICE
VICTORIA,-123.3350354,48.4269761,300- 1627 FORT STREET,Accuro,NA
VERNON,-119.2764726,50.2651145,3310 32ND AVENUE,MedAccess,VERNON FAMILY PRACTICE
VICTORIA,-123.3656136,48.4390321,301 - 740 HILLSIDE AVENUE,iClinic,WESTERN CARDIOLOGY
NAKUSP,-117.7979456,50.2383921,PO BOX 159 - 84 BROADWAY,Wolf,SADDLE MOUNTIAN MEDICAL
VANCOUVER,-123.2442035,49.2648819,5179 - 2211 WESBROOK MALL,Plexia,HUNTINGTONS DISEASE MEDICAL CLINIC
VANCOUVER,-123.1289966,49.2805979,1081 BURRARD ST,Plexia,ENT CLINIC - ST PAULS HOSPITAL
NORTH VANCOUVER,-123.072296,49.3230612,201-101 16TH WEST,Plexia,NA
VICTORIA,-123.3747387,48.4564346,104 - 3551 BLANSHARD STREET,Accuro,REBALANCE MD
CAMPBELL RIVER,-125.2411602,50.0071696,277 EVERGREEN ROAD,Oscar West,ALDER MEDICAL CENTRE
VICTORIA,-123.3337925,48.4449543,215 - 3066 SHELBOURNE STREET,IntraHealth,DOCTORS MEDICAL CLINIC
RICHMOND,-123.1294781,49.1851196,1193 -  3779 SEXSMITH ROAD,Wolf,CONTINENTAL MEDICAL CLINIC
NORTH VANCOUVER,-122.9702535,49.3162534,220 - 3650 MT SEYMOUR PARKWAY,MedAccess,PARKGATE MEDICAL
CAMPBELL RIVER,-125.2399867,50.0232284,103 -  901 ISLAND HIGHWAY,Oscar West,SURGICAL ASSOCIATES
SURREY,-122.8026133,49.1335165,102 - 15122 72ND AVENUE,MedAccess,NA
NORTH VANCOUVER,-123.024775,49.3115536,333 SEYMOUR BLVD - 2ND FLR,Launchpad,MOUNT SEYMOUR CLINIC
VANCOUVER,-123.1161916,49.2639714,350 - 507 WEST BROADWAY,IntraHealth,CROSS ROADS CLINIC
VANCOUVER,-123.1259148,49.2611413,10TH FLR - 2775 LAUREL STREET,Accuro,VGH - DIVISION OF HEMATOLOGY
HAZELTON,-127.6525697,55.257373,BAG 999 - 2510 HIGHWAY 62,NH MOIS,WRINCH MEMORIAL HOSPITAL
VICTORIA,-123.3524606,48.4254293,405 - 1120 YATES STREET,Plexia,SURGICAL ASSOCIATES
VICTORIA,-123.3333185,48.4768546,4092 SHELBORNE STREET,Accuro,NA
VICTORIA,-123.3337925,48.4449543,315 ? 3066 SHELBOURNE STREET,Osler,NA
NEW WESTMINSTER,-122.8923133,49.2252694,202 - 250 KEARY STREET,Accuro,NA
CAMPBELL RIVER,-125.2606595,50.0315145,1477 ISLAND HIGHWAY,Oscar West,NA
PORT HARDY,-127.5024595,50.7210678,"9140 GRANVILLE STREET, PO BOX 1619",IntraHealth,PORT HARDY PRIMARY HEALTH CLINIC
VANCOUVER,-123.1282976,49.2792372,306 - 1160 BURRARD STREET,MedAccess,BURRARD HEALTH CENTRE
VICTORIA,-123.3528931,48.4246916,201-1121 YATES STREET,Plexia,NA
CHILLIWACK,-121.9591197,49.1692838,302 - 9200 MARY STREET,Oscar West,NA
VANCOUVER,-123.2442035,49.2648819,M334 - 2211 WESBROOK MALL,InputHealth,NA
VICTORIA,-123.3832251,48.4875777,304 - 4420 CHATTERTON WAY,Oscar Nerd,NA
VANCOUVER,-123.1267045,49.2448408,C234 4500 OAK STREET,Launchpad,DEPARTMENT OF MEDICAL GENETICS
VICTORIA,-123.327759,48.4322939,1952 BAY STREET,Launchpad,RJH MEMORIAL PAVILION GERIATRICS
KAMLOOPS,-120.3310884,50.6782761,114 - 436 LORNE STREET,Accuro,NA
PENTICTON,-119.5802387,49.4742473,101 - 2210 MAIN STREET,MedAccess,SAGE MEDICAL CLINIC
SURREY,-122.7830527,49.0490082,101 - 15850 26TH AVENUE,Oscar,SOUTH SURREY MEDICAL CLINIC
VANCOUVER,-123.1281537,49.2793415,440 - 1144 BURRARD STREET,IntraHealth,NA
BURNABY,-122.9677741,49.2513629,3713 KENSINGTON AVE,Plexia,FORTIUS SPORT AND HEALTH
VANCOUVER,-123.1281537,49.2793415,440 - 1144 BURRARD STREET,IntraHealth,NA
BURNABY,-122.9986929,49.2239593,2 - 4655 CENTRAL BOULEVARD,Wolf,NA
CRANBROOK,-115.7679929,49.5092137,123 10TH AVENUE SOUTH,Accuro,ASSOCIATED MEDICAL CLINIC
VANCOUVER,-123.1213803,49.2635965,1000 - 777 WEST BROADWAY,Plexia,NA
VICTORIA,-123.3337925,48.4449543,215 - 3066 SHELBOURNE STREET,IntraHealth,DOCTORS MEDICAL CLINIC
VANCOUVER,-123.1233055,49.2640082,304 - 888 WEST 8TH AVENUE,Oscar Nerd,NA
VICTORIA,-123.3655767,48.4304911,205 - 648 HERALD STREET,Launchpad,NA
SURREY,-122.8050676,49.0323262,204 - 1676 MARTIN DRIVE,Launchpad,NA
KELOWNA,-119.4759184,49.8867769,3 - 1131 LAWSON AVENUE,Accuro,KELOWNA GYNECOLOGY AND OBSTETRICS CLINIC
VANCOUVER,-123.1003026,49.2590419,220 EAST 13 AVENUE,Launchpad,VENTURE MENTAL HEALTH TEAM
RICHMOND,-123.1351533,49.1660285,120 - 8120 COOK ROAD,Oscar,NA
SALTSPRING,-123.5080333,48.8598826,101 - 323 LOWER GANGES ROAD,Oscar Nerd,NA
VICTORIA,-123.3679173,48.4306214,11 - 536 HERALD STREET,Osler,NA
DELTA,-123.0700061,49.0224581,201 - 1077 56TH STREET,Wolf,NA
VICTORIA,-123.4018369,48.4300191,918 ESQUIMALT ROAD,MedAccess,ESQUIMALT TREATMENT CENTRE
CAMPBELL RIVER,-125.2587844,50.0333382,PO BOX 369 STATION A - 1424 B ISLAND HWY,Oscar West,RIVER CITY MEDICAL CLINIC
RICHMOND,-123.1341344,49.1838923,2180 - 4151 HAZELBRIDGE WAY,Wolf,ABERDEEN HEALTH CENTRE
RICHMOND,-123.1852095,49.1267558,120-3591 CHATHAM ST,Oscar Nerd,BLOSSOM COLLABORATIVE BIRTH PROGRAM
SURREY,-122.8428948,49.1745321,208-13710 94A AVENUE,Oscar Nerd,NA
PORT COQUITLAM,-122.7770807,49.2611585,1 - 2185 WILSON AVENUE,IntraHealth,WILSON CENTRE FAMILY PRACTICE
RICHMOND,-123.1378855,49.1392369,118 - 10151 NO 3 ROAD,Wolf,BROADMOOR MEDICAL CLINIC
VANCOUVER,-123.040184,49.2190888,350 - 3150 EAST 54TH AVENUE,Oscar West,COLLINGWOOD MEDICAL
VANCOUVER,-123.1251089,49.2788011,702 - 1080 HOWE STREET,Wolf,SPECTRUM HEALTH CLINIC
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 5TH FLR,iClinic,THE LUNG CENTRE
VANCOUVER,-123.1267045,49.2448408,C234 - 4500 OAK STREET,Launchpad,DEPARTMENT OF MEDICAL GENETICS
WESTBANK,-119.626315,49.8312983,2423 APOLLO ROAD,IntraHealth,FAMILY MEDICAL
ABBOTSFORD,-122.2934399,49.0398923,308 - 2051 MCCALLUM ROAD,Plexia,GATEWAY 2 MEDICAL CENTRE
SIDNEY,-123.4007936,48.647608,2A - 2379 BEVAN AVENUE,MedAccess,PENINSULA MEDICAL
COMOX,-124.9255823,49.6718759,202 - 1757 BEAUFORT,Oscar,WHITE WAVE MEDICAL
CHILLIWACK,-121.9591271,49.1671473,50 - 45905 YALE ROAD WEST,Oscar West,NA
VANCOUVER,-123.1259148,49.2611413,10TH FLR - 2775 LAUREL STREET,Accuro,VGH - DIVISION OF HEMATOLOGY
BURNABY,-123.000188,49.2681683,38 - 4567 LOUGHEED HIGHWAY,Oscar Nerd,BRENTWOOD MEDICAL CLINIC
DUNCAN,-123.7081361,48.7857933,201 -2763 BEVERLY STREET,MedAccess,BEVERLY MEDICAL CLINIC
NEW WESTMINSTER,-122.9035646,49.2055267,303 - 301 COLUMBIA STREET,Oscar West,NA
VANCOUVER,-123.11886,49.2320657,360 - 650 WEST 41ST AVENUE,Launchpad,NA
BRENTWOOD BAY,-123.4450923,48.5756248,7105 WEST SAANICH ROAD,Osler,NA
VICTORIA,-123.4411095,48.4555097,108 - 284 HELMCKEN ROAD,MedAccess,HELMCKEN COVE FAMILY PRACTICE
VANCOUVER,-123.1282976,49.2792372,306 - 1160 BURRARD STREET,MedAccess,BURRARD HEALTH CENTRE
BURNABY,-122.9947467,49.2274528,4879 KINGSWAY,Wolf,METRO HEALTH CLINIC
VANCOUVER,-123.040184,49.2190888,350 - 3150 EAST 54TH AVENUE,Oscar West,COLLINGWOOD MEDICAL
VANCOUVER,-123.1267045,49.2448408,ROOM C420 - 4500 OAK STREET,Launchpad,AMBULATORY MATERNAL FETAL CLINIC
TERRACE,-128.5911069,54.5189215,400 - 4634 PARK AVENUE,IntraHealth,PARK AVE MEDICAL CLINIC
NEW WESTMINSTER,-122.8933071,49.2260098,410 - 301 EAST COLUMBIA STREET,Plexia,NA
NANAIMO,-123.9604913,49.1877187,101 1650 TERMINAL AVENUE,Accuro,OCEANVIEW PEDIATRICS
VANCOUVER,-123.11973,49.2738028,202 - 179 DAVIE STREET,Plexia,AQUARIUS MEDICAL CLINIC
VANCOUVER,-123.11886,49.2320657,207 - 650 WEST 41ST AVENUE,Accuro,OAKRIDGE CENTRE SOUTH TOWER
CHILLIWACK,-121.9578967,49.1360224,104 - 45744 GAETZ STREET,Oscar West,GAETZ STREET FAMILY MEDICINE
NORTH VANCOUVER,-123.0729417,49.3193094,103 - 1221 LONSDALE AVENUE,Plexia,NA
LADYSMITH,-123.8204214,48.992235,PO BOX 700 - 541 3RD AVENUE,MedAccess,HILLSIDE MEDICAL CLINIC
DUNCAN,-123.7102883,48.7790178,190 INGRAM STREET,Accuro,SPECIALISTS' CLINIC
VANCOUVER,-123.1547111,49.2635438,250 - 2184 WEST BROADWAY,Wolf,NA
VANCOUVER,-123.0684139,49.2610896,202 - 1750 EAST 10TH AVENUE,Launchpad,NA
SIDNEY,-123.4047815,48.654838,2281 MILLS ROAD,Launchpad,NA
LADYSMITH,-123.8287358,48.9966463,PO BOX 820 - 1127 4TH AVENUE,Launchpad,EXTENDED CARE FACILITY
VANCOUVER,-123.0908067,49.2260113,6447 FRASER STREET,Launchpad,SOUTH FRASER MEDICAL
FERNIE,-115.0617743,49.5081052,PO BOX 2019 - 901 5TH AVENUE,Intrahealth,ROCKY MOUNTAIN HEALTH CENTRE
COMOX,-124.92452,49.6727975,1729 B COMOX AVE,Plexia,COMOX VALLEY ORTHO
CAMPBELL RIVER,-125.246442,50.0252414,480 10TH AVENUE,Oscar Host,CEDAR STREET MEDICAL
KAMLOOPS,-120.3292991,50.6724356,577 5TH AVENUE,MedAccess,WHEATGRASS MEDICAL CLINIC
VERNON,-119.274674,50.2637965,200 - 3207 30TH AVENUE,Osler,VERNON MEDICAL CLINIC
DELTA,-123.0647709,49.0850196,206 - 4515 HARVEST DRIVE,Wolf,NA
PORT ALBERNI,-124.8110771,49.2605814,4711B ELIZABETH ST,Osler,NA
BURNABY,-123.0158079,49.2808069,200 - 4012 EAST HASTINGS STREET,Oscar,NORBURN MEDICAL CLINIC
VICTORIA,-123.3320778,48.4612246,230-1590 CEDAR HILL X RD,Plexia,PACIFIC DIGESTIVE HLTH
VANCOUVER,-123.0559577,49.2805132,306 - 460 NANAIMO STREET,Launchpad,NA
VICTORIA,-123.504633,48.4495407,313 - 877 GOLDSTREAM AVENUE,Oscar West,NA
MAYNE ISLAND,-123.2880882,48.8470799,PO BOX 120 - 526 FELIX JACK ROAD,Wolf,MAYNE ISLAND MEDICAL
KAMLOOPS,-120.3583091,50.6685206,202-755 MCGILL RD,Accuro,SONA MD
KAMLOOPS,-120.3528832,50.6723637,202 - 595 WEST COLUMBIA STREET,Accuro,NA
WINFIELD,-119.4060999,50.0262267,1 - 9966 POLLARD ROAD,Oscar West,LAKE COUNTRY MEDICAL
VANCOUVER,-123.1006257,49.2494755,3998 MAIN STREET,Oscar Nerd,MID-MAIN HEALTH CLINIC
PENTICTON,-119.5930404,49.4819532,101 - 1516 FAIRVIEW RD,MedAccess,NA
VANCOUVER,-123.1210594,49.2630115,1314 - 750 WEST BROADWAY,Osler,FAIRMONT PEDIATRICS
VANCOUVER,-123.0655819,49.2332972,5619 VICTORIA DRIVE,Oscar PRN,VICTORIA SQUARE MEDICAL CENTRE
NANAIMO,-123.9330141,49.1646557,103 - 650 SOUTH TERMINAL AVENUE,IntraHealth,MEDICAL ARTS CENTRE
NORTH VANCOUVER,-122.9513122,49.3265115,4313 GALLANT AVENUE,Plexia,NA
VICTORIA,-123.3841127,48.4896014,101 - 4450 CHATTERTON WAY,Accuro,BROADMEAD SURGICAL CENTRE
SURREY,-122.8390639,49.1342693,4 - 13791 72ND AVENUE,MedAccess,SOMERSET MEDICAL CLINIC
ABBOTSFORD,-122.2934399,49.0398923,203 - 2051 MCCALLUM ROAD,IntraHealth,GATEWAY HEALTH AND WELLNESS CENTRE
SALT SPRING ISLAND,-123.5080333,48.8598826,101-323 LOWER GANGES ROAD,Oscar Nerd,NA
RICHMOND,-123.1482094,49.1692939,310 - 6091 GILBERT ROAD,Plexia,NA
CLOVERDALE,-122.7305352,49.1047118,5633 177B STREET,Oscar Nerd,CLOVERDALE FAMILY MEDICAL
VANCOUVER,-123.1213803,49.2635965,101 - 777 WEST BROADWAY,IntraHealth,THE DOCTORS OFFICE
VICTORIA,-123.3302199,48.4305343,203 - 2020 RICHMOND AVENUE,Zopyrus (LS Chart),NA
BURNABY,-123.0158079,49.2808069,200 4012 EAST HASTINGS STREET,Oscar,NORBURN MEDICAL CLINIC
VANCOUVER,-123.11886,49.2320657,222 - 650 WEST 41ST AVENUE,Wolf,NA
PRINCE GEORGE,-122.74727,53.9185223,200 - 1440 2ND AVENUE,Plexia,NA
VICTORIA,-123.3308402,48.4300629,435  - 1900 RICHMOND ROAD,Osler,NA
PORT ALBERNI,-124.7988067,49.2462943,6 - 3855 9TH AVENUE,Osler,NA
CAMPBELL RIVER,-125.2411602,50.0071696,277 EVERGREEN ROAD,Oscar West,ALDER MEDICAL CENTRE
BURNABY,-123.01893,49.2499871,200 - 3825 SUNSET STREET,Wolf,NA
VICTORIA,-123.3228272,48.4324038,207 - 1990 FORT STREET,Launchpad,NA
VICTORIA,-123.3334413,48.4719991,200-3994 SHELBOURNE ST,Osler,NA
VANCOUVER,-123.0684139,49.2610896,406 - 1750 EAST 10TH AVENUE,Oscar,NA
POWELL RIVER,-124.5202068,49.8456395,4794 JOYCE AVENUE,Wolf,THE MEDICAL CLINIC ASSOCIATES
VICTORIA,-123.3647132,48.4256448,321-1207 DOUGLAS STREET,Launchpad,NA
MAPLE RIDGE,-122.5928084,49.216191,106 - 22722 LOUGHEED HWY,Intrahealth,GREY CLINIC
SURREY,-122.7305341,49.1045315,5623 177B STREET,Launchpad,NA
VANCOUVER,-123.1165444,49.262936,371 - 550 WEST BROADWAY,Accuro,NA
VANCOUVER,-123.1208651,49.262601,SECTION C - 2550 WILLOW STREET,Plexia,EYE CARE CENTRE
PARKSVILLE,-124.3095221,49.3187512,PO BOX 1540 - 202 - 180 MCCARTER STREET,Launchpad,NA
WHITE ROCK,-122.7909144,49.029777,15521 RUSSELL AVE,Launchpad,EPI 2ND FLR PEACE ARCH HOSPITAL
KELOWNA,-119.490148,49.8626485,203 - 3040 TUTT STREET,Accuro,NA
KELOWNA,-119.4747087,49.8703519,105 - 2395 GORDON DRIVE,Oscar,GUISACHAN FAMILY MEDICINE
VICTORIA,-123.4974704,48.4160429,507 OUTLOOK PLACE,Oscar,NA
VICTORIA,-123.3308402,48.4300629,1902 RICHMOND ROAD,Oscar West,JUBILEE MEDICAL
CAMPBELL RIVER,-125.2411602,50.0071696,277 EVERGREEN ROAD,Oscar West,ALDER MEDICAL CENTRE
